"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M670","2019-07-18 00:00:00","43.000","191.000","0.500","30.100","0.750","991.700","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","27.300",""
"C0I530","2019-07-18 00:00:00","3014.000","156.000","2.400","12.100","1.000","697.600","-99.000","0.500","8.500","129.000","","15.100","","8.900",""
"C0A880","2019-07-18 00:00:00","6.000","5.000","0.900","27.900","0.910","997.100","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.700",""
"C0S950","2019-07-18 00:00:00","415.000","238.000","0.900","26.200","0.820","951.700","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.300",""
"C0X190","2019-07-18 00:00:00","10.000","187.000","2.600","29.500","0.940","995.100","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","28.500",""
"C0O860","2019-07-18 00:00:00","38.000","0.000","0.100","28.800","0.990","992.300","-99.000","0.000","-99.000","-99.000","-99.000","35.900","","26.600",""
"C0O810","2019-07-18 00:00:00","161.000","314.000","0.600","27.200","0.990","982.100","-99.000","0.000","-99.000","-99.000","-99.000","35.300","","24.500",""
"C0G880","2019-07-18 00:00:00","92.000","204.000","1.100","29.700","0.810","987.800","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","25.900",""
"C0X270","2019-07-18 00:00:00","33.000","203.000","0.400","28.000","1.000","994.200","-99.000","0.000","-99.000","-99.000","-99.000","36.800","","25.800",""
"C0R260","2019-07-18 00:00:00","76.000","89.000","0.900","27.100","0.850","988.400","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.600",""
"C0U950","2019-07-18 00:00:00","1012.000","53.000","4.700","22.000","1.000","892.700","-99.000","49.500","-99.000","-99.000","-99.000","22.700","","21.400",""
"C0C630","2019-07-18 00:00:00","209.000","59.000","2.100","26.800","0.870","976.100","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.600",""
"C0D550","2019-07-18 00:00:00","1956.000","141.000","0.400","18.500","0.800","803.100","-99.000","0.000","-99.000","-99.000","-99.000","27.800","","16.600",""
"C0T9E0","2019-07-18 00:00:00","415.000","6.000","1.900","24.900","0.940","953.900","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","22.900",""
"C0U960","2019-07-18 00:00:00","1885.000","17.000","2.100","17.600","0.970","806.300","-99.000","28.500","8.400","3.000","","22.700","","13.800",""
"C0R240","2019-07-18 00:00:00","87.000","112.000","0.600","25.900","0.950","987.200","-99.000","1.500","-99.000","-99.000","-99.000","33.700","","25.100",""
"C0AD30","2019-07-18 00:00:00","20.000","81.000","1.700","29.800","0.760","995.700","-99.000","3.000","-99.000","-99.000","-99.000","33.700","","28.900",""
"C0D430","2019-07-18 00:00:00","87.000","63.000","0.300","28.600","0.770","986.700","-99.000","0.000","-99.000","-99.000","-99.000","38.400","","23.400",""
"C0X210","2019-07-18 00:00:00","38.000","170.000","1.600","28.500","0.940","991.000","-99.000","0.000","-99.000","-99.000","-99.000","35.300","","26.500",""
"C0AH10","2019-07-18 00:00:00","30.000","97.000","2.100","28.700","0.890","995.200","-99.000","15.500","-99.000","-99.000","-99.000","33.600","","28.100",""
